id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1743,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°2,240.0,import_2024,section n°2,poincon,Section n°2,poincon
1744,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°6,240.0,import_2024,section n°6,poincon,Section n°6,poincon
1745,2024-08-04,L13,Four 1,Variation montée poincon,poincon,Section n°9,180.0,import_2024,section n°9,poincon,Section n°9,poincon
1746,2024-08-06,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,20.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1747,2024-08-06,L13,Four 1,Mauvaise fonctionnement rippeur 2 fois,rippeur,Section n°2,15.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1748,2024-08-06,L13,Four 1,Mauvaise fonctionnement rippeur 4 fois,rippeur,Section n°2,60.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1749,2024-08-06,L13,Four 1,Mauvaise fonctionnement rippeur 2 fois,rippeur,Section n°8,35.0,import_2024,section n°8,rippeur,Section n°8,rippeur
1750,2024-08-06,L13,Four 1,Bras de transfert,bras de transfert,Section n°9,30.0,import_2024,section n°9,bras de transfert,Section n°9,bras de transfert
1751,2024-08-07,L13,Four 1,Serrage support de rippeur,rippeur,Section n°3,15.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1752,2024-08-07,L13,Four 1,Changement charnieres Eb,charniéres,Section n°4,15.0,import_2024,section n°4,charniéres,Section n°4,charniéres
1753,2024-08-07,L13,Four 1,Changement charnieres Eb,charniéres,Section n°4,30.0,import_2024,section n°4,charniéres,Section n°4,charniéres
1754,2024-08-07,L13,Four 1,Bras de transfert,bras de transfert,Section n°6,15.0,import_2024,section n°6,bras de transfert,Section n°6,bras de transfert
1755,2024-08-07,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°2,30.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1756,2024-08-08,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°2,20.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1757,2024-08-08,L13,Four 1,Mauvaise fonctionnement rippeur 2 fois,rippeur,Section n°6,30.0,import_2024,section n°6,rippeur,Section n°6,rippeur
1758,2024-08-09,L13,Four 1,centrage support entennoir,entonnoir,Section n°6,40.0,import_2024,section n°6,entonnoir,Section n°6,entonnoir
